Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ
2020-07-29 13:05:26.455,0.0238037109375,-0.997802734375,-0.0070953369140625,-0.048235438764095306,0.06447219848632812,0.049003228545188904,0.7087158653119419,0.7053947845996179,0.011828034378957259,-1.734723475976807e-18
2020-07-29 13:05:26.465,0.0159454345703125,-1.0082855224609375,-0.0061492919921875,-0.05469360575079918,0.10092661529779434,0.05164987966418266,0.7089221707613867,0.7051844504297622,0.011993454415151438,0.0004727520304202773
2020-07-29 13:05:26.475,0.0106201171875,-1.0207672119140625,-0.0068817138671875,-0.06794336438179016,0.10020250082015991,0.04670971632003784,0.7091723360527438,0.7049289741651678,0.012197733301249802,0.0009613768968534386
2020-07-29 13:05:26.485,0.0069122314453125,-1.028900146484375,-0.0087432861328125,-0.08888167142868042,0.1361437290906906,0.04767777398228645,0.7094958187504208,0.7045973359821758,0.012487566345456738,0.0015372821865521002
2020-07-29 13:05:26.495,0.0029449462890625,-1.03289794921875,-0.0081787109375,-0.11894316226243973,0.13998320698738098,0.054657384753227234,0.7099190502470053,0.7041634414794352,0.012803038435050857,0.0021827600005633724
2020-07-29 13:05:26.505,-0.0003814697265625,-1.037567138671875,-0.008453369140625,-0.1462877094745636,0.19000749289989471,0.05746861919760704,0.7104385315842283,0.70362818268699,0.013246407402222242,0.0029830632071087427
2020-07-29 13:05:26.515,7.62939453125e-05,-1.0385894775390625,-0.0100250244140625,-0.17588208615779877,0.21224381029605865,0.06311745196580887,0.7110624149917466,0.7029829437686786,0.013777927091932119,0.003910744100318283
2020-07-29 13:05:26.525,-0.0017547607421875,-1.03515625,-0.014984130859375,-0.21173302829265594,0.2506764233112335,0.07005684822797775,0.7117977168501385,0.702219103837214,0.014402185143906478,0.004982477526139067
2020-07-29 13:05:26.536,-0.0021209716796875,-1.029815673828125,-0.0175018310546875,-0.23282791674137115,0.2705729007720947,0.07464547455310822,0.7126072815367646,0.7013733594091774,0.015107197677653044,0.006164362155464141
2020-07-29 13:05:26.545,0.0057373046875,-1.02166748046875,-0.0228271484375,-0.24626676738262177,0.29925915598869324,0.07396131008863449,0.7134548833146652,0.7004805411094729,0.015919621851197146,0.0074545526114094965
2020-07-29 13:05:26.556,0.014312744140625,-1.00634765625,-0.025543212890625,-0.2444283813238144,0.3311811089515686,0.07936166971921921,0.7113380582497519,0.7025944097995075,0.0166362492612199,0.009073849337483737
2020-07-29 13:05:26.565,0.020721435546875,-0.989715576171875,-0.0234832763671875,-0.23250487446784973,0.3407314717769623,0.08134838193655014,0.7114479013782601,0.7024445705122463,0.01710111391785036,0.011006109629386772
2020-07-29 13:05:26.576,0.0339202880859375,-0.9814605712890625,-0.0208740234375,-0.21907348930835724,0.35816293954849243,0.07681142538785934,0.7115941860777413,0.7022506978259685,0.017571320091340943,0.012993979280657396
2020-07-29 13:05:26.585,0.0468902587890625,-0.975799560546875,-0.013885498046875,-0.2072405368089676,0.3409240245819092,0.07325077801942825,0.7118070052778311,0.7019852612224642,0.01798763198182899,0.014965627018225236
2020-07-29 13:05:26.596,0.058929443359375,-0.9693145751953125,-0.0045928955078125,-0.2003602534532547,0.3511063754558563,0.07153277099132538,0.7124893924433177,0.7012347736820037,0.018961559620354295,0.016406993714959066
2020-07-29 13:05:26.605,0.0723876953125,-0.9633331298828125,0.0004425048828125,-0.19401314854621887,0.3376598060131073,0.0691782683134079,0.7131471991478314,0.7005053338216221,0.019905544123703954,0.017807397696032193
2020-07-29 13:05:26.616,0.0843658447265625,-0.9585418701171875,0.00653076171875,-0.184456929564476,0.3369833528995514,0.07322760671377182,0.7137679868342245,0.6998090163860536,0.020822690686299293,0.019208204795234426
2020-07-29 13:05:26.625,0.09014892578125,-0.9575042724609375,0.01220703125,-0.1708734780550003,0.3240973949432373,0.08334575593471527,0.714336646402384,0.6991633173510117,0.021665465512728,0.02059834148321802
2020-07-29 13:05:26.635,0.0984344482421875,-0.9548187255859375,0.014556884765625,-0.14937297999858856,0.29969456791877747,0.08857141435146332,0.7148343545131621,0.6985904374332967,0.02240870436284518,0.021932580906255432
2020-07-29 13:05:26.645,0.105255126953125,-0.9551544189453125,0.0206756591796875,-0.13344860076904297,0.2715708017349243,0.09565621614456177,0.7152728389116234,0.6980813173928175,0.023023144496590733,0.02317629721178394
2020-07-29 13:05:26.655,0.1082611083984375,-0.959869384765625,0.0243377685546875,-0.12386389076709747,0.22794342041015625,0.0975222960114479,0.7156844044099737,0.6976065964566391,0.023483835036591832,0.024278730470833496
2020-07-29 13:05:26.666,0.1082611083984375,-0.959869384765625,0.0243377685546875,-0.11774607747793198,0.18937233090400696,0.09459548443555832,0.7160790420806191,0.6971565766206458,0.023810448793225455,0.0252281006975833
2020-07-29 13:05:26.675,0.1066131591796875,-0.9853515625,0.025848388671875,-0.11109855771064758,0.1451079249382019,0.08957568556070328,0.7164606189700544,0.6967295018804117,0.023999050400534055,0.026003452403647383
2020-07-29 13:05:26.686,0.1034088134765625,-0.9951171875,0.0196075439453125,-0.11655937135219574,0.09358987212181091,0.07919042557477951,0.7168631919182171,0.6962929631115969,0.024033003384602895,0.026565733138671808
2020-07-29 13:05:26.695,0.095855712890625,-1.0025177001953125,0.0155792236328125,-0.11780998855829239,0.040943440049886703,0.06684161722660065,0.717276739032688,0.6958570100716913,0.023937070834706618,0.02690863201948556
